id,user_id,created_at,completed,attention_checks,prolific_start_time,prolific_end_time,event_start_time,event_end_time,total_learning_time,exp_instruction_time,total_exp_time,study_group
4472,participant_0016,2025-02-24 12:19:12.515023,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-24 12:15:53.920,2025-02-24 12:32:22.095,2025-02-24 12:20:10.830393,2025-02-24 12:30:35.650027,10.413660566666666,4.281839883333333,16.469583333333333,chat
4470,participant_0104,2025-02-24 12:15:49.867723,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-24 12:12:18.129,2025-02-24 12:37:31.027,2025-02-24 12:16:40.967903,2025-02-24 12:34:45.636220,18.07780528333333,4.380648383333334,25.214966666666665,chat
4485,participant_0127,2025-02-24 12:42:38.938946,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '3'}}",2025-02-24 12:37:46.192,2025-02-24 13:25:57.074,2025-02-24 12:45:13.405108,2025-02-24 13:19:06.942961,33.89229755,7.4535518,48.18136666666667,chat
4009,participant_0106,2025-02-23 02:15:42.624591,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:07:03.097,2025-02-23 03:21:47.903,2025-02-23 02:20:51.502658,2025-02-23 03:11:19.790484,50.47146376666667,13.806760966666667,74.74676666666666,chat
4032,participant_0061,2025-02-23 03:25:20.476280,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 03:16:21.629,2025-02-23 04:26:13.559,2025-02-23 03:28:45.058333,2025-02-23 04:17:19.527049,48.5744786,12.390488883333337,69.86550000000001,chat
3918,participant_0069,2025-02-22 23:12:53.365299,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-22 23:09:58.062,2025-02-22 23:41:48.181,2025-02-22 23:15:03.274135,2025-02-22 23:38:10.504098,23.120499383333332,5.086868916666666,31.835316666666664,chat
4012,participant_0024,2025-02-23 02:24:56.816033,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-23 02:12:37.485,2025-02-23 03:33:25.723,2025-02-23 02:27:23.348304,2025-02-23 03:24:22.098094,56.979163166666666,14.7643884,80.80396666666667,chat
3919,participant_0067,2025-02-22 23:13:02.492094,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-22 23:09:18.898,2025-02-22 23:39:35.867,2025-02-22 23:13:59.221158,2025-02-22 23:33:34.997113,19.596265916666667,4.672052633333333,30.28281666666667,chat
3925,participant_0060,2025-02-22 23:22:21.881934,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-2'}}",2025-02-22 23:20:45.386,2025-02-22 23:33:14.309,2025-02-22 23:23:03.039521,2025-02-22 23:31:38.579385,8.592331066666667,2.29422535,12.48205,chat
3932,participant_0131,2025-02-22 23:33:08.153307,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-22 23:30:18.442,2025-02-23 00:02:47.203,2025-02-22 23:34:23.057569,2025-02-22 23:54:20.520333,19.957712733333334,4.07692615,32.47935,chat
