timestamp,feedback,user_id,study_group
2025-02-23T01:19:52.303Z,"While the chatbot tended to offer a decent summary of why it made its decision, any further query tended to be terrible and result in an answer that had little to do with the question. The lengthy delay between answers (nearly a minute waiting) also discouraged a conversational style. Finally, the interface seemed to break at one point, where it hung for quite a while so I clicked ""proceed"" on the chatbot box a few times, and then suddenly when it revived it jumped forward several screens all at once. ",participant_0103,chat
2025-02-23T02:20:02.227Z,was pretty interesting thank you!,participant_0098,chat
2025-02-23T02:39:59.039Z,"Thank you! I feel bad because in that last questionnaire I was quite negative about the chatbot, I just felt like sometimes my concerns didn't seem fully addressed and it just gave blanket statements.

Thanks for the interesting study!",participant_0096,chat
2025-02-24T15:08:26.706Z,"It was very interactive and I look forward to the implications of the study, good luck researchers! ",participant_0043,chat
2025-02-23T03:33:19.128Z,Thank you for letting me be a part of this study!,participant_0024,chat
2025-02-23T03:57:32.163Z,"unfortunately, the ""proceed"" button was not responsive in the first set of predictions. So I clicked it many times, and it eventually registered my inputs and skipped the rest of my predictions ",participant_0032,chat
2025-02-23T04:13:37.792Z,"The experiment was very educative, informative and interesting. I really enjoy doing it.",participant_0002,chat
2025-02-23T04:54:09.573Z,Great!,participant_0072,chat
2025-02-25T03:58:03.170Z,The experiment was fun. Thank you for the opportunity to participate!,participant_0109,chat
2025-02-23T15:06:38.529Z,i liked the experiment,participant_0025,chat
2025-02-23T05:04:37.661Z,"I liked the chatbot interface, I was able to ask what I wanted and get answers. I thought the responses took too long to generate, sometimes I waited over a minute for a response.",participant_0003,chat
2025-02-23T06:28:50.643Z,no further feedback at this time.,participant_0083,chat
2025-02-23T06:52:44.183Z,"I generally liked using the chatbot, but it was extremely slow, sometimes even for very standard questions.",participant_0058,chat
2025-02-23T05:44:46.213Z,I'm not sure if it was like purposely done for part of the experiment but some of the pages didn't load,participant_0047,chat
2025-02-23T07:02:11.649Z,"No further comments, thanks.",participant_0017,chat
2025-02-23T06:03:22.518Z,The study was clear.,participant_0045,chat
2025-02-23T07:12:11.467Z,"To me, the experiment was understanding and perfect, it helped me to further understand the predictions of machine learning models and actually put it into practice.",participant_0019,chat
2025-02-23T07:19:10.839Z,To whom it may concern: Thank you for letting me participate in this study.,participant_0125,chat
2025-02-23T07:51:07.598Z,"I appreciate that you explained how you would decide to award a bonus. However, you did not specify the amount. Any time someone dangles an unspecified incentive it feels like a slap in the face, like they think I'm an idiot or something.",participant_0095,chat
2025-02-23T11:48:10.613Z,"The chatbot was very slow at times in providing answers, which I didn't like - it meant that it was harder to keep my attention on the task. In some ways, I think it would be easier to just read an explanation of the key factors that influenced the model. There were also some bits of the experiment that weren't super smooth - it told me I had got an 'undefined' number of tasks correct.",participant_0044,chat
2025-02-23T12:48:08.351Z,"As I was completing the predication part the chatbot said I was correct 9 times from the 10 scenarios, however at the summery it was said I was only correct in my predication 6 times from 10. There is a discrepancy there which may skew the results.",participant_0107,chat
2025-02-23T12:39:45.086Z,"During the learning phase, the chatbot's response times were quite long, sometimes not immediately predicting. This led to a little confusion, although I realised later I would just need to wait.",participant_0010,chat
2025-02-23T15:41:13.780Z,Thank you for the opportunity to participate!,participant_0116,chat
2025-02-22T23:33:08.654Z,I don't like chatbots. ,participant_0060,chat
2025-02-22T23:39:30.836Z,Liked it a lot but I found the screens for Learning and Testing confusing.,participant_0067,chat
2025-02-23T13:14:16.872Z,"The chatbot was extremely laggy on Mac OS Sequoia 15.3.1 (Safari Browser). Plus it took way too long for it to respond.

(On a fiber connection, USA West)",participant_0030,chat
2025-02-22T23:58:41.613Z,i found the experiment quite difficult ,participant_0131,chat
2025-02-23T21:39:24.390Z,This was so much fun!,participant_0097,chat
2025-02-23T18:16:44.136Z,Thank you for this opportunity.,participant_0031,chat
2025-02-23T17:21:04.638Z,Thank you for letting me participate in this study.  I learned alot.,participant_0081,chat
2025-02-24T00:05:14.503Z,"I liked it, but it took me way too long, partly because the chatbot was slow, partly because I am cautious, and partly because there was so much to earn to really understand how the model makes decisions.",participant_0048,chat
2025-02-23T16:07:06.257Z,None,participant_0128,chat
2025-02-23T19:23:58.673Z,I liked the experiment,participant_0042,chat
2025-02-23T20:49:08.953Z,To me the experiment was insightful,participant_0065,chat
2025-02-24T12:37:25.926Z,Enjoyed,participant_0104,chat
2025-02-24T15:49:31.193Z,"This was an interesting experiment, I would like to be considered for others like this",participant_0119,chat
2025-02-24T16:33:27.288Z,nice study,participant_0007,chat
2025-02-24T17:38:17.372Z,"To me, the experiment was interesting",participant_0091,chat
2025-02-24T17:03:19.654Z,none,participant_0088,chat
2025-02-24T18:06:49.191Z,I liked the experiment,participant_0122,chat
2025-02-24T19:05:31.459Z,The chatbot took ages to reply if it did at all. The program itself was very halting.,participant_0064,chat
2025-02-24T20:57:24.249Z,The chatback was very slow to respond to my prompts. I would be more inclined to use it and ask further questions if I didn't have to wait 20+ seconds for a response every time I sent a message to it.,participant_0092,chat
2025-02-24T21:08:16.435Z,Nice study,participant_0011,chat
2025-02-24T23:37:59.982Z,The experiment was very fun! I would love to be apart of fun studys like this again! The Ai chat bot seemed to be pretty accurate at predicting and broke down its explanations very well.,participant_0108,chat
2025-02-25T01:33:07.628Z,"There were many times that the experiment lagged, and once I pressed the proceed button to no effect and then it skipped forward and then put me back. ",participant_0079,chat
2025-02-25T04:57:44.397Z,No comment ,participant_0070,chat
