timestamp,feedback,user_id,study_group
2025-02-20T11:18:46.164Z,"This was a fun experiment and I really enmjoyed taking part, thanks!",participant_0044,interactive
2025-02-20T12:12:49.368Z,Interesting topic!,participant_0058,interactive
2025-02-20T13:42:16.379Z,nil,participant_0097,interactive
2025-02-20T12:40:35.307Z,It was quite confusing.,participant_0113,interactive
2025-02-20T12:46:55.135Z,Very interesting,participant_0023,interactive
2025-02-20T13:38:46.234Z,"The question in the final quizz ""The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the most important for the model’s decision?"" 
did not contain an option for investment outcomes  which the chatbot explained made up for 75% of its decision making. I chose marital statuse as this was the most important attribute.
",participant_0106,interactive
2025-02-20T13:06:34.990Z,good survey,participant_0099,interactive
2025-02-20T13:50:27.248Z,I found this experiment very interesting as I was able to understand the chatbots reasoning and explanations to resolve the task.,participant_0112,interactive
2025-02-20T14:06:30.526Z,"This experiment was very interesting, and I really enjoyed it :)",participant_0064,interactive
2025-02-20T13:51:33.589Z,no comment,participant_0039,interactive
2025-02-20T14:11:24.617Z,"It seemed like the chatbot gave info that contradicted things it said earlier multiple times, but overall worked decently.",participant_0028,interactive
2025-02-20T14:28:02.639Z,Satisfactory,participant_0080,interactive
2025-02-20T15:52:15.211Z,To me the experiment was very illuminating. I would love to participate in understanding more about the algorithm and machine learning component of the solution,participant_0005,interactive
2025-02-20T16:19:11.743Z,I loved the experiment. Welldone,participant_0087,interactive
2025-02-20T15:38:39.373Z,"The experiment was engaging and helpful, I am a little wiser for this experiment. It makes you think about things you would not normally consider",participant_0096,interactive
2025-02-20T15:44:09.487Z,Very interesting experiment and quite illuminating. ,participant_0033,interactive
2025-02-20T16:38:23.155Z,"The experiment was interesting, although there were a lot of questions there was enough variety and more importantly a lot of small nuance to consider. ",participant_0104,interactive
2025-02-25T09:24:28.179Z,thank you,participant_0049,interactive
2025-02-25T09:30:01.149Z,Interesting that it showed investment at any age seemed to help.,participant_0076,interactive
2025-02-25T09:42:30.832Z,This was the hardest survey I have done.  I hope the information is helpful,participant_0048,interactive
2025-02-25T09:56:28.086Z,Very interesting ,participant_0027,interactive
